sellerUserID,itemName,itemDescription,itemImage,startPrice,reservePrice,startTime,endTime,categoryID
1,AppleMacBook Pro,AppleMacBook Pro<ul><li>IPS Panel Retina Display 2560x1600</li><li>Intel Core i5 2.3GHz</li><li>128GB SSD</li></ul>,,401.91,803.81,2020-11-03 14:34:23,2020-11-14 16:34:23,4
2,AppleMacbook Air,AppleMacbook Air<ul><li>1440x900</li><li>Intel Core i5 1.8GHz</li><li>128GB Flash Storage</li></ul>,,269.68,539.36,2020-11-03 14:34:23,2020-11-15 14:34:23,4
1,HP250 G6,HP250 G6<ul><li>Full HD 1920x1080</li><li>Intel Core i5 7200U 2.5GHz</li><li>256GB SSD</li></ul>,,172.5,345,2020-11-03 14:34:23,2020-11-15 16:34:23,4
2,AppleMacBook Pro,AppleMacBook Pro<ul><li>IPS Panel Retina Display 2880x1800</li><li>Intel Core i7 2.7GHz</li><li>512GB SSD</li></ul>,,761.24,1522.47,2020-11-03 14:34:23,2020-11-16 14:34:23,4
1,AppleMacBook Pro,AppleMacBook Pro<ul><li>IPS Panel Retina Display 2560x1600</li><li>Intel Core i5 3.1GHz</li><li>256GB SSD</li></ul>,,541.08,1082.16,2020-11-03 14:34:23,2020-11-14 14:34:23,4
1,AcerAspire 3,AcerAspire 3<ul><li>1366x768</li><li>AMD A9-Series 9420 3GHz</li><li>500GB HDD</li></ul>,,120,240,2020-11-03 14:34:23,2020-11-14 16:34:23,4
2,AppleMacBook Pro,AppleMacBook Pro<ul><li>IPS Panel Retina Display 2880x1800</li><li>Intel Core i7 2.2GHz</li><li>256GB Flash Storage</li></ul>,,641.99,1283.98,2020-11-03 14:34:23,2020-11-15 14:34:23,4
1,AppleMacbook Air,AppleMacbook Air<ul><li>1440x900</li><li>Intel Core i5 1.8GHz</li><li>256GB Flash Storage</li></ul>,,347.61,695.22,2020-11-03 14:34:23,2020-11-15 16:34:23,4
2,AsusZenBook UX430UN,AsusZenBook UX430UN<ul><li>Full HD 1920x1080</li><li>Intel Core i7 8550U 1.8GHz</li><li>512GB SSD</li></ul>,,448.5,897,2020-11-03 14:34:23,2020-11-16 14:34:23,4
1,AcerSwift 3,AcerSwift 3<ul><li>IPS Panel Full HD 1920x1080</li><li>Intel Core i5 8250U 1.6GHz</li><li>256GB SSD</li></ul>,,0,462,2020-11-03 14:34:23,2020-11-14 14:34:23,4
2,HP250 G6,HP250 G6<ul><li>1366x768</li><li>Intel Core i5 7200U 2.5GHz</li><li>500GB HDD</li></ul>,,118.17,236.34,2020-11-03 14:34:23,2020-11-14 16:34:23,4
1,HP250 G6,HP250 G6<ul><li>Full HD 1920x1080</li><li>Intel Core i3 6006U 2GHz</li><li>500GB HDD</li></ul>,,103.5,206.99,2020-11-03 14:34:23,2020-11-15 14:34:23,4
1,AppleMacBook Pro,AppleMacBook Pro<ul><li>IPS Panel Retina Display 2880x1800</li><li>Intel Core i7 2.8GHz</li><li>256GB SSD</li></ul>,,731.99,1463.98,2020-11-03 14:34:23,2020-11-15 16:34:23,4
2,DellInspiron 3567,DellInspiron 3567<ul><li>Full HD 1920x1080</li><li>Intel Core i3 6006U 2GHz</li><li>256GB SSD</li></ul>,,149.67,299.34,2020-11-03 14:34:23,2020-11-16 14:34:23,4
2,"AppleMacBook 12""","AppleMacBook 12""<ul><li>IPS Panel Retina Display 2304x1440</li><li>Intel Core M m3 1.2GHz</li><li>256GB SSD</li></ul>",,378.72,757.44,2020-11-03 14:34:23,2020-11-14 14:34:23,4
1,AppleMacBook Pro,AppleMacBook Pro<ul><li>IPS Panel Retina Display 2560x1600</li><li>Intel Core i5 2.3GHz</li><li>256GB SSD</li></ul>,,455.57,911.13,2020-11-03 14:34:23,2020-11-14 16:34:23,4
